16
10,2,6,5,4,3,7,8,11,1,12,14,13,9,15,16
1,7,8,11,5,6,2,10,9,13,16,15,3,4,12,14
9,12,3,13,1,14,15,16,2,4,6,7,8,5,10,11
14,15,16,4,9,11,12,13,3,5,8,10,1,2,6,7
2,13,1,3,6,4,5,11,7,8,9,12,10,14,16,15
4,5,7,8,2,9,3,14,10,16,15,6,11,12,13,1
11,9,12,10,8,15,16,7,1,2,14,13,4,3,5,6
16,6,14,15,10,1,13,12,4,3,5,11,2,7,8,9
3,1,2,6,7,5,4,9,8,10,11,16,12,15,14,13
5,4,9,7,3,2,8,15,12,14,13,1,6,16,11,10
8,10,11,12,13,16,14,6,5,15,2,3,7,1,9,4
15,14,13,16,11,12,10,1,6,7,4,9,5,8,2,3
6,3,10,1,14,8,11,2,15,9,7,5,16,13,4,12
7,8,4,9,15,13,6,3,16,12,10,2,14,11,1,5
13,16,15,2,12,10,1,5,14,11,3,4,9,6,7,8
12,11,5,14,16,7,9,4,13,6,1,8,15,10,3,2
